node,x,y,rain_olf
390,473153.610108,6366749.046485,0.0
391,472850.212054,6366763.892857,0.0
392,472902.8125,6366754.6,0.0
393,472878.619318,6366779.9,0.0
394,472971.255161,6366747.396271,0.0
395,473059.161859,6366723.773077,0.0
396,475947.184979,6370457.661043,0.0
397,476018.778644,6370529.768527,0.0
398,476092.754114,6370590.161776,0.0
399,476176.28981,6370644.496517,0.0
400,476260.700167,6370696.077315,0.0
401,476344.50749,6370746.451697,0.0
402,475341.296157,6389144.391977,0.0
403,475546.735586,6390685.910106,0.0
404,475509.405535,6390943.143472,0.0
405,475431.057516,6390308.912729,0.0
406,475464.0625,6390081.5,0.0
407,475528.072244,6389854.025841,0.0
408,475488.182317,6389601.052541,0.0
409,475303.819429,6389399.010371,0.0
410,475101.56895,6391111.011418,0.0
411,474850.708333,6391473.75,0.0
412,476368.042783,6386402.906142,0.0
413,476597.476764,6387029.498993,0.0
414,476460.336968,6386716.426819,0.0
415,476374.413741,6387330.275597,0.0
416,476107.518689,6387643.629677,0.0
417,475035.691842,6388691.997068,0.0
418,475697.75466,6388755.711792,0.0
419,475342.56991,6388728.600233,0.0
420,475704.016434,6388147.996709,0.0
421,474687.963812,6388693.184195,0.0
422,476281.372774,6385762.245221,0.0
423,476062.251801,6385442.53356,0.0
424,476098.78125,6385188.0,0.0
425,475956.625,6385062.0,0.0
426,475898.0625,6384871.0,0.0
427,476151.640758,6386157.990655,0.0
428,475582.789244,6370104.545273,0.0
429,475645.533721,6370260.08144,0.0
430,475567.230105,6370197.443896,0.0
431,475496.257932,6369952.905045,0.0
432,475490.25812,6370045.987224,0.0
433,475785.821587,6370404.215994,0.0
434,475859.502144,6370480.230897,0.0
435,475697.090785,6370420.774467,0.0
436,475624.2319,6370352.542005,0.0
437,475458.855263,6369617.944128,0.0
438,475442.194555,6369709.380039,0.0
439,475429.186147,6369798.449758,0.0
440,475417.266467,6369889.412467,0.0
441,473550.648337,6366317.860349,0.0
442,473463.613023,6366296.068201,0.0
443,473144.744318,6366501.6,0.0
444,473168.9375,6366476.3,0.0
445,473351.099779,6366410.030038,0.0
446,473258.241929,6366440.6106,0.0
447,473193.130682,6366451.0,0.0
448,473115.651786,6366486.642857,0.0
449,473385.155863,6366319.798412,0.0
450,473333.2141,6366366.998553,0.0
451,473065.5625,6366539.0,0.0
452,473090.607143,6366512.821429,0.0
453,473008.721261,6366555.129464,0.0
454,473032.855469,6366529.9375,0.0
455,472891.702974,6366612.119423,0.0
456,472939.679652,6366561.456007,0.0
457,472850.42709,6366586.973929,0.0
458,475993.2019,6369443.156516,0.0
459,475977.195649,6369343.880825,0.0
460,475969.084723,6369247.051564,0.0
461,476195.602637,6370366.474628,0.0
462,476207.95378,6370282.450073,0.0
463,476184.562128,6370199.731635,0.0
464,476166.623957,6370107.804041,0.0
465,476146.027495,6370019.950838,0.0
466,476122.286172,6369943.677352,0.0
467,476082.237848,6369484.41256,0.0
468,476094.578415,6369791.853761,0.0
469,476097.217227,6369582.425095,0.0
470,476115.705599,6369683.733739,0.0
471,476158.764957,6369864.595707,0.0
472,476270.021337,6370513.200011,0.0
473,476354.200053,6370564.857198,0.0
474,476275.906491,6370420.811707,0.0
475,476436.75393,6370710.865701,0.0
476,476439.200011,6370617.156226,0.0
477,475895.805333,6369089.634207,0.0
478,475970.818668,6369146.942657,0.0
479,475830.702343,6368743.325693,0.0
480,475835.198478,6368837.920127,0.0
481,475889.30267,6368679.639227,0.0
482,475904.949941,6368989.357182,0.0
483,475915.356425,6368890.655387,0.0
484,475882.881457,6368582.336561,0.0
485,475828.470719,6368312.202797,0.0
486,475876.315478,6368488.666967,0.0
487,475859.542325,6368400.140605,0.0
488,475658.746957,6368236.737844,0.0
489,475610.102052,6368160.757335,0.0
490,475564.207958,6368081.664835,0.0
491,475757.402617,6368252.538266,0.0
492,475329.492222,6368002.980684,0.0
493,475519.470743,6368001.471115,0.0
494,475423.807842,6368001.739462,0.0
495,475102.668996,6367909.247519,0.0
496,475195.851851,6367918.167501,0.0
497,475289.68876,6367920.276208,0.0
498,475063.293929,6367829.135112,0.0
499,474977.847729,6367815.14635,0.0
500,474224.082912,6367107.002558,0.0
501,474270.21029,6367054.062407,0.0
502,474275.511853,6366986.758621,0.0
503,474280.571429,6366939.285714,0.0
504,474299.568606,6366961.224138,0.0
505,474304.570221,6366869.435294,0.0
506,474306.236607,6366912.071429,0.0
507,474308.314484,6366800.343676,0.0
508,474328.745588,6366843.894118,0.0
509,474352.920956,6366818.352941,0.0
510,473914.151754,6366680.398674,0.0
511,474004.470885,6366704.737564,0.0
512,474094.728823,6366727.89842,0.0
513,473637.626588,6366332.093276,0.0
514,473688.049276,6366398.386867,0.0
515,473743.337311,6366473.86842,0.0
516,473794.537565,6366554.132504,0.0
517,473886.852504,6366591.730865,0.0
518,474184.839447,6366745.251459,0.0
519,474354.658068,6366747.361504,0.0
520,474284.911601,6366758.315399,0.0
521,476258.068142,6384865.096611,0.0
522,476492.229904,6385147.958148,0.0
523,476408.984414,6384495.173972,0.0
524,476589.03125,6385526.5,0.0
525,476754.430603,6385374.083962,0.0
526,476644.632471,6385886.178006,0.0
527,476542.701259,6386126.667389,0.0
528,476897.847002,6386397.935079,0.0
529,477076.0625,6387412.0,0.0
530,477128.53125,6387221.5,0.0
531,477147.28125,6386434.5,0.0
532,477141.3125,6386634.0,0.0
533,477146.65625,6386833.5,0.0
534,477169.625,6387032.0,0.0
535,477840.047435,6391460.697674,0.0
536,477829.693911,6392249.428459,0.0
537,477765.050756,6392976.977241,0.0
538,477099.796875,6393384.625,0.0
539,477280.369593,6387732.478917,0.0
540,477370.550988,6387969.950709,0.0
541,477488.008183,6387551.264937,0.0
542,477331.700885,6388339.439427,0.0
543,477500.291328,6388821.752979,0.0
544,477601.384621,6389355.457667,0.0
545,477601.039779,6389753.253329,0.0
546,477824.325242,6390532.45374,0.0
547,477781.890149,6390107.562023,0.0
548,478193.083203,6390747.7472,0.0
549,472754.649749,6366566.042938,0.0
550,472815.6476,6366756.665179,0.0
551,472791.513393,6366781.857143,0.0
552,472790.387854,6366652.280058,0.0
553,472789.737229,6366707.686314,0.0
554,472767.379185,6366807.049107,0.0
555,472743.244978,6366832.241071,0.0
556,475399.364466,6369547.248067,0.0
557,475547.321119,6369152.885216,0.0
558,475557.443349,6369241.986527,0.0
559,475486.439782,6369281.869792,0.0
560,475459.305454,6369366.182272,0.0
561,475429.545774,6369455.108257,0.0
562,475470.028715,6369102.820583,0.0
563,475394.832806,6369048.760426,0.0
564,473941.939706,6367252.552941,0.0
565,474080.5625,6367151.222222,0.0
566,474055.65625,6367177.611111,0.0
567,474030.75,6367204.0,0.0
568,474006.418269,6367229.769231,0.0
569,473982.086538,6367255.538462,0.0
570,474131.171336,6367139.965517,0.0
571,474107.114583,6367165.5,0.0
572,474181.176355,6367162.977136,0.0
573,474238.129216,6367153.234537,0.0
574,475366.786095,6368966.889968,0.0
575,475414.198946,6368825.015989,0.0
576,475394.79016,6368734.473066,0.0
577,475388.773695,6368649.287296,0.0
578,475346.076031,6368579.904026,0.0
579,475298.583485,6368498.512507,0.0
580,475342.425328,6368877.505432,0.0
581,475257.592389,6368413.929975,0.0
582,475213.622126,6368330.99238,0.0
583,475167.299884,6368247.966822,0.0
584,474893.955832,6367789.032287,0.0
585,474712.746647,6367620.728803,0.0
586,474761.700193,6367691.036886,0.0
587,475119.906242,6368164.172209,0.0
588,475070.964896,6368079.251841,0.0
589,475000.917395,6367910.06111,0.0
590,474987.794126,6368010.686849,0.0
591,474908.677446,6367874.459699,0.0
592,473922.82841,6367210.251732,0.0
593,473892.334674,6367175.255074,0.0
594,473917.764338,6367278.094118,0.0
595,473803.437752,6367150.193668,0.0
596,473687.263281,6367037.995942,0.0
597,473713.825827,6367126.255666,0.0
598,473570.341191,6366928.719827,0.0
599,473596.24921,6367014.451438,0.0
600,473475.369865,6366895.125809,0.0
601,473384.581571,6366871.259811,0.0
602,473287.716241,6366852.848074,0.0
603,473189.558897,6366833.272612,0.0
604,473093.282955,6366811.020076,0.0
605,472719.11077,6366857.433036,0.0
606,472826.284226,6366788.880952,0.0
607,472802.356399,6366813.869048,0.0
608,472854.426136,6366805.2,0.0
609,472925.183791,6366800.20999,0.0
610,472999.694861,6366785.823798,0.0
611,472778.428571,6366838.857143,0.0
612,472754.500744,6366863.845238,0.0
613,475932.628015,6370552.986009,0.0
614,476002.594574,6370631.571913,0.0
615,476088.150716,6370685.318942,0.0
616,476425.841817,6370800.258164,0.0
617,476515.918603,6370778.529615,0.0
618,476171.423809,6370737.696846,0.0
619,476252.71135,6370787.45592,0.0
620,476331.38878,6370835.508019,0.0
621,476373.317819,6383985.987528,0.0
622,476262.997159,6384232.794307,0.0
623,476425.78125,6383741.5,0.0
624,476053.052632,6384654.418133,0.0
625,476041.877345,6384388.326497,0.0
626,475095.86965,6389063.222083,0.0
627,474917.389087,6388876.226333,0.0
628,475147.973772,6390653.370068,0.0
629,475220.387566,6390217.130101,0.0
630,475314.1875,6389954.5,0.0
631,475214.78125,6389794.0,0.0
632,475153.625,6389608.0,0.0
633,475049.90625,6389441.0,0.0
634,474946.21875,6389274.0,0.0
635,474608.729167,6391007.5,0.0
636,474589.40625,6388827.5,0.0
637,474498.03125,6388677.0,0.0
638,474567.771348,6388577.823455,0.0
639,475728.303654,6386773.938546,0.0
640,475988.273774,6387125.371661,0.0
641,475722.235566,6387472.233836,0.0
642,475128.313801,6388493.610735,0.0
643,474832.527902,6388610.385931,0.0
644,475392.752321,6388281.804123,0.0
645,475433.31177,6387981.852139,0.0
646,475054.147633,6388293.493319,0.0
647,474609.53125,6388464.0,0.0
648,475791.96875,6384707.0,0.0
649,475744.069676,6386096.979045,0.0
650,475756.143125,6385685.043571,0.0
651,475818.290698,6385361.264169,0.0
652,475732.008255,6385026.391806,0.0
653,475555.432706,6386392.038063,0.0
654,475316.372809,6386647.956205,0.0
655,475004.51911,6386688.433727,0.0
656,475332.704635,6386121.786446,0.0
657,474583.186875,6386638.876803,0.0
658,475489.615849,6370135.998271,0.0
659,475551.531795,6370289.321805,0.0
660,475475.965789,6370228.834313,0.0
661,475408.269043,6369982.756867,0.0
662,475403.506022,6370076.254571,0.0
663,475769.845322,6370494.559104,0.0
664,475838.766099,6370568.041218,0.0
665,475681.828309,6370510.642995,0.0
666,475607.72153,6370443.892076,0.0
667,475533.705526,6370381.585638,0.0
668,475367.37586,6369642.232692,0.0
669,475348.151337,6369733.539518,0.0
670,475336.379897,6369825.266167,0.0
671,475327.881691,6369919.703238,0.0
672,473614.386908,6366253.455902,0.0
673,473523.694391,6366231.871681,0.0
674,473429.477406,6366265.311418,0.0
675,473479.035874,6366215.832246,0.0
676,473140.696429,6366460.464286,0.0
677,473165.741071,6366434.285714,0.0
678,473217.323864,6366425.7,0.0
679,473265.710227,6366375.1,0.0
680,473241.517045,6366400.4,0.0
681,473190.785714,6366408.107143,0.0
682,473081.123884,6366479.553571,0.0
683,473105.258092,6366454.361607,0.0
684,473362.482955,6366273.9,0.0
685,473338.289773,6366299.2,0.0
686,473289.903409,6366349.8,0.0
687,473314.096591,6366324.5,0.0
688,473265.919643,6366329.571429,0.0
689,473056.989676,6366504.745536,0.0
690,472985.378934,6366508.610818,0.0
691,472910.081338,6366522.771144,0.0
692,472813.592769,6366499.972044,0.0
693,472715.211629,6366482.217486,0.0
694,476068.020555,6369387.538404,0.0
695,476057.426689,6369292.750698,0.0
696,476051.495539,6369198.339532,0.0
697,476283.528325,6370328.095163,0.0
698,476277.48588,6370229.247182,0.0
699,476258.548494,6370136.798755,0.0
700,476239.342002,6370042.476078,0.0
701,476158.505299,6369427.27485,0.0
702,476224.073176,6369943.980499,0.0
703,476172.652818,6369518.782365,0.0
704,476179.197929,6369771.87065,0.0
705,476185.734342,6369607.97023,0.0
706,476204.412189,6369689.638875,0.0
707,476247.027834,6369841.79803,0.0
708,476357.545213,6370472.020888,0.0
709,476441.008679,6370523.523125,0.0
710,476360.686864,6370376.686483,0.0
711,476521.828816,6370672.87149,0.0
712,476593.512412,6370729.577768,0.0
713,476526.417256,6370576.874653,0.0
714,476660.030271,6370787.725879,0.0
715,475979.740227,6369045.534206,0.0
716,476051.760114,6369101.585533,0.0
717,475921.753949,6368792.81921,0.0
718,475963.37037,6368713.91562,0.0
719,475964.57866,6368619.642599,0.0
720,475992.732966,6368948.459838,0.0
721,476005.569636,6368856.768135,0.0
722,475961.730738,6368523.451506,0.0
723,475861.720623,6368238.738996,0.0
724,475915.938461,6368330.084625,0.0
725,475953.937919,6368424.969962,0.0
726,475711.514861,6368164.370241,0.0
727,475662.702457,6368083.200287,0.0
728,475616.14663,6368002.089608,0.0
729,475805.677311,6368166.757592,0.0
730,475383.26161,6367919.349694,0.0
731,475570.400575,6367920.77328,0.0
732,475476.12423,6367919.481933,0.0
733,475157.255094,6367833.089422,0.0
734,475250.214281,6367837.561854,0.0
735,475343.531699,6367837.399145,0.0
736,474840.230694,6367720.96853,0.0
737,474938.355292,6367720.05053,0.0
738,475115.951204,6367749.848585,0.0
739,475026.758815,6367737.973053,0.0
