Index,Box,Regional
1115,10881,3993
1116,10917,4913
1117,10927,2746
1118,10935,3135
1119,10938,2137
1120,10947,2140
1121,10950,1819
1122,10956,492
1123,10961,202
1124,10963,372
1125,10983,1110
1126,10987,1693
1127,10991,1094
1128,10998,1385
1129,11001,1506
1130,11007,1514
1131,11015,938
1132,11059,7280
1133,11061,4646
1134,11064,5121
1135,11068,5573
1136,11069,6879
1137,11071,6003
1138,11077,4188
1139,11080,2930
1140,11082,2566
1141,11083,3332
1142,11149,2403
1143,11154,3542
1144,11159,3136
1145,11163,1822
1146,11168,2139
1147,11172,1820
1148,11175,730
1149,11177,1005
1150,11179,304
1151,11190,581
1152,11192,834
1153,11193,1113
1154,11196,1112
1155,11198,1111
1156,11203,937
1157,11207,835
1158,11211,1390
1159,11217,1093
1160,11219,1091
1161,11221,1386
1162,11224,1087
1163,11228,1505
1164,11229,1515
1165,11234,1214
1166,11236,1212
1167,11238,1509
1168,11242,671
1169,11243,929
1170,11244,928
1171,11248,1298
1172,11252,2240
1173,11254,1922
1174,11256,1599
1175,11281,7653
1176,11283,7281
1177,11288,4653
1178,11295,6448
1179,11297,6004
1180,11299,3742
1181,11304,2568
1182,11308,3331
1183,11342,4445
1184,11372,2747
1185,11377,3138
1186,11381,2084
1187,11384,1823
1188,11395,1510
1189,11401,494
1190,11405,143
1191,11406,371
1192,11409,201
1193,11423,936
1194,11428,830
1195,11433,1387
1196,11444,1086
1197,11452,1223
1198,11461,670
1199,11498,7282
1200,11505,6880
1201,11507,6881
1202,11508,4195
1203,11511,5122
1204,11513,5574
1205,11519,3749
1206,11521,2931
1207,11525,2242
1208,11528,3330
1209,11539,3544
1210,11542,3994
1211,11571,4912
1212,11589,2748
1213,11591,2404
1214,11597,3134
1215,11602,1761
1216,11606,2085
1217,11608,1821
1218,11611,1512
1219,11613,732
1220,11614,1007
1221,11616,305
1222,11628,370
1223,11631,579
1224,11632,832
1225,11633,833
1226,11639,831
1227,11647,580
1228,11650,812
1229,11654,1092
1230,11658,1088
1231,11660,1090
1232,11663,806
1233,11666,1213
1234,11667,1224
1235,11672,927
1236,11675,925
1237,11676,1217
1238,11681,440
1239,11682,662
1240,11684,661
1241,11686,1299
1242,11689,1923
1243,11691,1600
1244,11693,1300
1245,11696,8005
1246,11715,8003
1247,11723,7283
1248,11725,6449
1249,11728,4652
1250,11731,5123
1251,11734,6005
1252,11735,5575
1253,11739,4194
1254,11741,2567
1255,11743,2241
1256,11745,2929
1257,11759,3137
1258,11811,2405
1259,11815,2750
1260,11820,1513
1261,11829,1220
1262,11833,493
1263,11836,300
1264,11839,140
1265,11840,200
1266,11842,199
1267,11849,578
1268,11858,669
1269,11860,439
1270,11862,668
1271,11865,574
1272,11879,807
1273,11888,934
1274,11904,2236
1275,11913,1006
1276,11920,8355
1277,11934,7651
1278,11936,6882
1279,11942,6450
1280,11945,5115
1281,11952,3748
1282,11957,2565
1283,11961,3329
1284,11972,3139
1285,12009,4911
1286,12021,2744
1287,12023,2086
1288,12036,1762
1289,12039,1511
1290,12041,1221
1291,12043,731
1292,12045,490
1293,12057,368
1294,12062,197
1295,12064,577
1296,12066,576
1297,12068,575
1298,12080,563
1299,12083,1089
1300,12085,811
1301,12087,810
1302,12090,809
1303,12094,556
1304,12096,926
1305,12097,935
1306,12103,660
1307,12104,658
1308,12106,932
1309,12111,432
1310,12112,431
1311,12116,1296
1312,12118,1597
1313,12119,1919
1314,12151,7277
1315,12153,6006
1316,12155,4647
1317,12159,5567
1318,12162,5998
1319,12164,4189
1320,12166,2928
1321,12170,2562
